State,Year,"Average NAEP Proficency in Math and Reading, Grades 4 and 8",Income per Capita
Alabama,2003,20,34889
Alaska,2003,29,44780
Arizona,2003,24,36602
Arkansas,2003,25,32804
California,2003,23,45414
Colorado,2003,35,45259
Connecticut,2003,39,56297
Delaware,2003,30,45605
District of Columbia,2003,8,61844
Florida,2003,28,41078
Georgia,2003,26,39207
Hawaii,2003,21,40926
Idaho,2003,30,34862
Illinois,2003,32,44668
Indiana,2003,33,37985
Iowa,2003,35,38387
Kansas,2003,36,39622
Kentucky,2003,28,34412
Louisiana,2003,20,33883
Maine,2003,34,38915
Maryland,2003,31,50511
Massachusetts,2003,41,52246
Michigan,2003,32,40036
Minnesota,2003,40,45310
Mississippi,2003,17,30889
Missouri,2003,32,39053
Montana,2003,35,34266
Nebraska,2003,33,41856
Nevada,2003,21,42850
New Hampshire,2003,40,46479
New Jersey,2003,37,52977
New Mexico,2003,18,33856
New York,2003,34,47659
North Carolina,2003,34,37484
North Dakota,2003,35,38070
Ohio,2003,34,39422
Oklahoma,2003,25,35668
Oregon,2003,32,38798
Pennsylvania,2003,33,42547
Rhode Island,2003,28,43717
South Carolina,2003,27,34580
South Dakota,2003,35,39957
Tennessee,2003,24,37983
Texas,2003,28,38623
Utah,2003,32,33820
Vermont,2003,38,40967
Virginia,2003,35,46223
Washington,2003,34,44521
West Virginia,2003,25,31801
Wisconsin,2003,35,41157
Wyoming,2003,35,42875
Alabama,2005,20,36595
Alaska,2005,29,45297
Arizona,2005,25,39288
Arkansas,2005,28,33923
California,2005,23,47224
Colorado,2005,35,46528
Connecticut,2005,37,59182
Delaware,2005,33,46459
District of Columbia,2005,10,67575
Florida,2005,30,43944
Georgia,2005,26,39995
Hawaii,2005,22,43245
Idaho,2005,34,36346
Illinois,2005,30,45688
Indiana,2005,32,38143
Iowa,2005,35,40008
Kansas,2005,37,40525
Kentucky,2005,28,35403
Louisiana,2005,20,35608
Maine,2005,36,39097
Maryland,2005,33,53076
Massachusetts,2005,45,54070
Michigan,2005,32,39937
Minnesota,2005,41,45747
Mississippi,2005,17,32513
Missouri,2005,30,39651
Montana,2005,37,35741
Nebraska,2005,35,42051
Nevada,2005,23,46762
New Hampshire,2005,40,47611
New Jersey,2005,39,54234
New Mexico,2005,18,35271
New York,2005,33,50392
North Carolina,2005,32,39142
North Dakota,2005,37,38308
Ohio,2005,37,39702
Oklahoma,2005,25,37782
Oregon,2005,33,39467
Pennsylvania,2005,36,43530
Rhode Island,2005,29,44285
South Carolina,2005,29,35585
South Dakota,2005,36,40541
Tennessee,2005,26,38463
Texas,2005,32,40241
Utah,2005,33,35658
Vermont,2005,40,41841
Virginia,2005,36,48287
Washington,2005,37,45617
West Virginia,2005,23,32014
Wisconsin,2005,36,41651
Wyoming,2005,36,47489
Alabama,2007,24,37426
Alaska,2007,30,47640
Arizona,2007,26,40946
Arkansas,2007,29,35612
California,2007,24,49272
Colorado,2007,37,48155
Connecticut,2007,40,63504
Delaware,2007,34,46758
District of Columbia,2007,13,73339
Florida,2007,33,45466
Georgia,2007,28,40587
Hawaii,2007,25,45725
Idaho,2007,35,37745
Illinois,2007,32,48253
Indiana,2007,35,38829
Iowa,2007,38,42076
Kansas,2007,39,43358
Kentucky,2007,30,36207
Louisiana,2007,21,40896
Maine,2007,38,40550
Maryland,2007,36,55098
Massachusetts,2007,48,57353
Michigan,2007,31,39796
Minnesota,2007,40,47495
Mississippi,2007,19,33685
Missouri,2007,33,40924
Montana,2007,40,38091
Nebraska,2007,36,43912
Nevada,2007,24,46629
New Hampshire,2007,42,49537
New Jersey,2007,43,57771
New Mexico,2007,21,36516
New York,2007,36,55232
North Carolina,2007,32,40051
North Dakota,2007,36,41293
Ohio,2007,39,40653
Oklahoma,2007,28,39562
Oregon,2007,33,40898
Pennsylvania,2007,40,45563
Rhode Island,2007,30,46608
South Carolina,2007,28,36946
South Dakota,2007,37,42462
Tennessee,2007,27,39029
Texas,2007,31,42091
Utah,2007,33,38393
Vermont,2007,44,44153
Virginia,2007,37,50157
Washington,2007,37,48903
West Virginia,2007,27,33372
Wisconsin,2007,37,43018
Wyoming,2007,37,52261
Alabama,2009,24,36372
Alaska,2009,31,48757
Arizona,2009,27,37513
Arkansas,2009,30,34921
California,2009,25,45891
Colorado,2009,39,45815
Connecticut,2009,43,59336
Delaware,2009,33,45073
District of Columbia,2009,15,74784
Florida,2009,34,41216
Georgia,2009,29,37903
Hawaii,2009,27,45641
Idaho,2009,36,34968
Illinois,2009,34,45845
Indiana,2009,36,37173
Iowa,2009,35,42759
Kansas,2009,38,42781
Kentucky,2009,33,35679
Louisiana,2009,20,40178
Maine,2009,38,40655
Maryland,2009,39,54386
Massachusetts,2009,50,55539
Michigan,2009,31,37729
Minnesota,2009,44,45497
Mississippi,2009,20,33412
Missouri,2009,37,40186
Montana,2009,40,37168
Nebraska,2009,35,43558
Nevada,2009,26,40653
New Hampshire,2009,45,48349
New Jersey,2009,44,55468
New Mexico,2009,22,35888
New York,2009,36,52908
North Carolina,2009,35,38558
North Dakota,2009,39,44201
Ohio,2009,38,39204
Oklahoma,2009,27,38246
Oregon,2009,34,39363
Pennsylvania,2009,41,44842
Rhode Island,2009,33,45585
South Carolina,2009,29,35772
South Dakota,2009,38,43236
Tennessee,2009,27,38003
Texas,2009,32,40770
Utah,2009,35,35768
Vermont,2009,44,43642
Virginia,2009,37,48616
Washington,2009,38,46498
West Virginia,2009,24,34494
Wisconsin,2009,38,42352
Wyoming,2009,36,47989
Alabama,2011,26,36847
Alaska,2011,32,50709
Arizona,2011,30,37375
Arkansas,2011,31,35878
California,2011,27,47097
Colorado,2011,42,46501
Connecticut,2011,43,60566
Delaware,2011,35,44936
District of Columbia,2011,18,77991
Florida,2011,33,42325
Georgia,2011,31,38333
Hawaii,2011,31,45245
Idaho,2011,36,35444
Illinois,2011,35,46486
Indiana,2011,36,38275
Iowa,2011,36,44894
Kansas,2011,40,44307
Kentucky,2011,35,36382
Louisiana,2011,23,40521
Maine,2011,39,40838
Maryland,2011,43,54929
Massachusetts,2011,52,57081
Michigan,2011,32,39113
Minnesota,2011,44,47593
Mississippi,2011,22,33793
Missouri,2011,36,40011
Montana,2011,42,38826
Nebraska,2011,36,46015
Nevada,2011,29,39410
New Hampshire,2011,46,50165
New Jersey,2011,47,56121
New Mexico,2011,24,36587
New York,2011,34,54666
North Carolina,2011,37,38423
North Dakota,2011,40,50380
Ohio,2011,39,40658
Oklahoma,2011,29,41025
Oregon,2011,33,39685
Pennsylvania,2011,42,46104
Rhode Island,2011,36,46910
South Carolina,2011,31,35867
South Dakota,2011,37,46771
Tennessee,2011,27,39100
Texas,2011,33,43168
Utah,2011,37,36031
Vermont,2011,45,45222
Virginia,2011,40,49546
Washington,2011,39,46903
West Virginia,2011,26,35735
Wisconsin,2011,39,42920
Wyoming,2011,38,51845
Alabama,2013,27,37076
Alaska,2013,32,50968
Arizona,2013,32,37586
Arkansas,2013,32,37297
California,2013,29,49224
Colorado,2013,43,47662
Connecticut,2013,43,61648
Delaware,2013,37,45546
District of Columbia,2013,22,76558
Florida,2013,36,42174
Georgia,2013,34,38462
Hawaii,2013,34,45942
Idaho,2013,37,36736
Illinois,2013,36,47747
Indiana,2013,41,39252
Iowa,2013,40,45493
Kansas,2013,41,45142
Kentucky,2013,36,36805
Louisiana,2013,24,41876
Maine,2013,41,41592
Maryland,2013,43,54704
Massachusetts,2013,52,58182
Michigan,2013,33,39692
Minnesota,2013,47,48275
Mississippi,2013,22,34466
Missouri,2013,36,41326
Montana,2013,40,40008
Nebraska,2013,39,47926
Nevada,2013,30,39875
New Hampshire,2013,49,51845
New Jersey,2013,47,56290
New Mexico,2013,27,36552
New York,2013,36,55351
North Carolina,2013,37,39314
North Dakota,2013,39,54050
Ohio,2013,41,41719
Oklahoma,2013,30,42544
Oregon,2013,36,40498
Pennsylvania,2013,42,46956
Rhode Island,2013,38,47756
South Carolina,2013,31,36416
South Dakota,2013,37,46790
Tennessee,2013,34,40203
Texas,2013,35,44578
Utah,2013,39,37238
Vermont,2013,47,46225
Virginia,2013,41,49635
Washington,2013,43,48496
West Virginia,2013,28,36113
Wisconsin,2013,40,43950
Wyoming,2013,40,53688