State,2011,2012,2013
Alabama,9048,9083,8965
Alaska,17926,18755,19558
Arizona,7034,7164,7260
Arkansas,9935,9674,9678
California,9528,9340,10498
Colorado,10526,11221,10898
Connecticut,16618,16910,17317
Delaware,15151,15350,15613
District of Columbia,14684,14851,14764
Florida,8879,8803,9129
Georgia,10089,9717,9545
Hawaii,12531,12164,11725
Idaho,8760,8792,8864
Illinois,13108,13327,13590
Indiana,11388,8313,8268
Iowa,9930,9906,10407
Kansas,10017,9989,9943
Kentucky,10364,10343,9709
Louisiana,10523,10629,10643
Maine,10941,10800,8973
Maryland,15383,15700,14310
Massachusetts,15722,16372,16251
Michigan,14012,14109,14860
Minnesota,11996,11992,12124
Mississippi,9535,8728,8790
Missouri,10272,10405,10589
Montana,10850,10661,10809
Nebraska,9895,9919,10052
Nevada,8680,8764,8835
New Jersey,19455,15870,20445
New Hampshire,15352,19888,16490
New Mexico,10738,11360,10254
New York,19593,20127,20761
North Dakota,9216,8622,8875
North Carolina,8938,8813,8773
Ohio,10358,10248,11327
Oklahoma,8720,8157,8054
Oregon,11469,10568,10642
Pennsylvania,14634,14914,15307
Rhode Island,17558,18212,18931
South Dakota,9702,10098,9108
South Carolina,9236,9636,9599
US Average,11402,11276,11540
Tennessee,9027,8914,8941
Texas,8944,8531,8823
Utah,7208,7446,7598
Vermont,19545,20363,21610
Virginia,11779,11026,11043
Washington,10525,10214,10091
West Virginia,12395,12487,12723
Wisconsin,12811,11747,11522
Wyoming,17540,16436,16269