State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Alabama,805205,806315,783383,770739,764341,759346,752507,761880,761666,754181,758721,743448,724037,721901,712586,730460,733735,729234,724751,723743,721806,722004,723410,726024,727480,736825,738299,739321,737639,730184,729156,725349,729651,729368,728146,737270,739760,739327,739198,741115,747373,736339,735605
Alaska,79845,84381,85332,82505,86576,89295,91190,90344,90728,88573,86514,90858,89413,98206,104599,107345,107848,106869,106481,109280,113903,118680,120116,123161,124464,125199,127733,129940,133356,133047,132146,133096,132973,132050,131210,131374,130776,129350,128757,129186,129114,128412,128358
Arizona,439524,464478,485088,521240,487040,492995,502817,513817,509830,509252,513790,507199,510296,506682,530062,548252,534538,572421,574890,607615,639853,656980,665834,701791,729216,735238,786827,804071,833849,847487,872906,907245,925158,997079,1028848,1084281,1053131,1071408,1070816,1068485,1063047,1071238,1079881
Arkansas,463320,461260,461431,450114,454406,456703,460593,458778,456698,453125,447700,437121,432565,432120,432668,433410,437438,437036,436387,434960,436286,438518,437962,440418,443021,448494,452322,452121,449144,448193,446543,446636,447570,450937,454464,463088,464954,465631,465146,466584,467537,468190,471532
California,4633198,4601550,4500978,4459328,4427443,4419571,4380400,4303665,4187967,4119511,4076421,4046156,4065486,4089017,4151110,4255554,4377989,4488398,4618120,4771978,4950474,5107145,5089808,5166261,5242078,5367926,5512155,5633646,5752817,5870546,5972363,6074303,6181021,6241328,6268095,6259972,6279527,6268293,6245031,6185288,6211534,6207847,6218252
Colorado,550060,564502,574248,573154,568060,568851,564087,561807,558285,550527,546033,544174,545209,542196,545427,550642,558415,560236,560081,562755,574213,593030,602791,615729,629325,644477,659917,673291,684820,693991,709131,722629,731494,737700,744720,756615,769472,776218,790163,802667,812723,823174,833186
Connecticut,662205,666867,664761,667088,660067,652449,635000,616389,593757,566634,531459,505386,486470,477585,468145,462026,468847,465465,460637,461560,469123,481050,472520,480015,494591,505870,516262,523787,534642,543475,551695,559178,558873,565380,564942,562285,561523,556446,552246,548279,544625,538415,534561
Delaware,132745,135013,134317,132940,130616,127476,122273,118000,111034,104035,99403,95072,92646,91406,91767,92901,94410,95659,96678,97808,99658,102196,103858,104982,106195,107791,109952,111388,112660,112120,113970,114931,115677,117026,118421,120257,121592,121991,124692,126046,127777,127544,127735
District of Columbia,145704,142512,139918,136036,131691,129969,125848,119875,113858,106156,100049,94975,91105,88843,87397,87092,85612,86435,84792,81301,80694,80618,71849,71757,71135,70955,70023,68348,63375,68397,60468,60025,65860,68193,66517,65456,61973,65843,61203,60485,61438,61878,63934
Florida,1427896,1478504,1514359,1537952,1557054,1551373,1537336,1535570,1513819,1508337,1510225,1487721,1484734,1495543,1524107,1562283,1607320,1664774,1720930,1789925,1861592,1932131,1949943,2005970,2063195,2125099,2188233,2240033,2283664,2327613,2379701,2443440,2488707,2538040,2591341,2627784,2625396,2619894,2582787,2583027,2590568,2613218,2637038
Georgia,1098901,1093407,1090280,1085881,1081485,1090292,1095142,1089625,1093256,1078462,1068737,1056117,1053689,1050859,1062315,1079594,1096425,1110947,1107994,1126535,1151687,1177569,1203883,1229770,1258089,1288505,1321239,1346623,1370512,1391403,1412689,1437324,1461267,1486125,1515646,1559828,1589839,1609681,1615066,1625745,1634251,1639663,1658080
Hawaii,180641,183654,181979,178511,177030,176430,174943,172356,170761,168660,165068,162805,162024,162241,163860,164169,164640,166160,167488,169493,171708,174747,165564,179779,183081,186486,186865,189174,187295,184937,183441,183515,182701,182358,181679,181225,179069,178170,177689,178461,177993,180990,183028
Idaho,182333,185114,184663,189133,187552,196616,200005,201433,203022,202758,203247,204524,202973,206352,208080,208669,208391,212444,214615,214932,220840,225680,229132,234115,238947,241432,243563,242294,242599,242962,242928,244180,246087,249448,253499,259198,264593,269239,272254,273653,274038,278535,282151
Illinois,2356636,2379646,2354562,2320672,2296241,2269892,2238129,2173352,2039430,2043239,1983463,1924084,1880289,1853316,1834355,1826478,1825185,1811446,1794916,1797355,1821407,1848166,1745966,1762418,1783309,1806016,1918089,1937678,1948348,1965262,1983894,2009225,2020632,2029852,2028281,2039114,2043001,2034962,2026925,2019448,2013394,2002374,1991405
Indiana,1231458,1230796,1220543,1207420,1186800,1173863,1163179,1143722,1113331,1083826,1055589,1025172,999542,984384,972659,966106,966780,964129,960994,954165,954525,956988,946116,952321,957076,966638,972429,976748,978553,978936,978974,985278,995719,1003888,1013381,1024573,1035792,1036009,1034660,1034217,1035580,1031225,1032255
Iowa,660104,652958,646408,631132,617485,612111,605127,588760,568540,548317,533857,516216,504983,497287,491011,485332,481286,480826,478200,478486,483652,491363,474588,476344,480783,484440,485000,482149,481885,480072,476927,475409,467923,470689,472211,476656,474867,472628,470537,470038,468564,468940,472096
Kansas,513394,505267,491765,479344,471460,465355,458330,446592,433538,422924,415291,409909,407074,405222,405347,410229,416091,421112,426596,430864,437034,445390,439929,451995,454808,456162,458384,459882,459997,458143,456007,453800,452644,453174,451876,450067,451218,452614,453608,459548,461778,462367,465031
Kentucky,717205,720309,714632,709764,701373,691612,694000,697000,692999,677123,669798,658350,651084,647414,644421,643833,642778,642696,637627,630688,636401,646024,628775,627190,627795,628786,625600,637436,628801,624357,641211,616294,623431,626009,631395,636647,642140,647973,651109,651808,648408,653395,657920
Louisiana,842365,851074,845841,842152,840742,847202,839499,839000,816669,800435,777560,782053,784027,800193,800941,788349,795188,793093,786683,783025,784757,794128,748247,748451,761278,759958,754239,742932,735022,728253,720072,711068,706119,704522,700814,631198,651829,654407,656309,661468,666901,673968,681477
Maine,244670,246406,250448,245467,250643,250931,248822,245768,240016,227823,222497,216293,211986,209753,207537,206101,211752,211817,212902,213775,215149,216400,211976,212613,209273,210806,209838,209358,207229,205763,203922,201826,200346,200269,197073,193604,191663,193610,190042,185442,184830,183921,180849
Maryland,916244,922051,920896,911097,894209,880927,860929,836912,809933,777725,750665,721841,699201,683491,673840,671560,675747,683797,688947,698806,715176,736238,722058,741911,759217,773350,785706,797274,814493,821231,827013,834623,840686,842647,842181,835801,825966,818521,817040,819786,822834,825236,829967
Massachusetts,1167713,1191179,1202597,1205142,1210100,1198410,1169000,1116810,1081464,1035724,1021885,947037,908984,878844,859391,844330,833918,825320,823428,825588,834314,846155,841487,857552,873403,893602,911964,925966,938876,947797,955212,952473,960186,957926,952293,947292,943222,936455,931391,928360,926940,924254,925452
Michigan,2152256,2182885,2164949,2123611,2137612,2073288,2035703,1968975,1911345,1860498,1797052,1724787,1674697,1635963,1609448,1602747,1597154,1589287,1582785,1576785,1584431,1593561,1523718,1529495,1540697,1561180,1634840,1590506,1603933,1606909,1666696,1678253,1713698,1690990,1685161,1679337,1657998,1645765,1612425,1604301,1550934,1528480,1514995
Minnesota,920839,913955,909653,900377,889535,879944,862591,836420,807716,778056,754318,733741,715190,705236,701697,705140,711134,721481,726950,739553,756374,773571,787330,803577,813633,826826,838302,844676,847339,844800,845040,841713,836854,831978,827330,827346,828246,824783,822526,823120,823632,825170,830709
Mississippi,534395,529366,526366,519786,513476,512407,510209,502025,493710,482039,477059,471615,468294,467744,466058,471195,498639,505550,503326,502020,502417,504127,487591,488128,487785,487687,486666,487366,485411,483773,481314,477506,476727,477735,479921,480687,482080,482639,481012,480860,478922,478278,481028
Missouri,1039477,1023374,1030008,1019803,1001705,965360,950142,931232,900002,872933,844648,818705,802535,795453,793793,795107,800606,802060,806639,807934,816558,842965,831882,843592,853223,864632,874950,884282,887018,886573,885368,885941,893831,893862,891847,899857,899426,894497,892436,892398,890215,886653,888216
Montana,176712,178367,179877,173559,172158,171788,170552,168732,164326,158208,155193,153435,152335,153646,154412,153869,153327,152207,152191,151265,152974,155779,158467,161620,163206,164570,163611,161509,159105,156706,154048,151186,149023,147342,145527,144339,143434,142214,140936,140598,140342,140874,141587
Nebraska,329110,332375,329192,323211,318792,315669,312024,306207,297796,287288,280430,273340,269009,266998,265599,265819,267139,268100,269434,270920,274081,279552,279280,281520,283115,285891,287863,288167,286545,283630,281299,280031,279911,279622,279647,280183,280647,281153,281544,283414,285844,288389,289674
Nevada,127550,130186,131660,135406,137051,139745,141791,143444,146281,147734,149481,151339,151104,150442,151633,154948,161239,168353,176474,186834,201316,211810,221131,233818,248631,262697,279610,294070,308223,322857,338097,353994,366305,382033,396649,408574,420736,425310,429690,424516,432058,434561,440391
New Hampshire,158756,164102,168094,171482,172117,174597,175496,174618,172389,170546,167232,163827,160197,159030,158614,160974,163717,166045,169413,171696,172785,177138,179468,183465,187513,192244,195937,199270,202412,204443,205741,204314,205127,204645,203824,202630,201041,198158,195100,194153,191614,188672,185714
New Jersey,1482000,1497841,1510519,1481605,1466956,1458000,1427000,1381528,1337327,1287809,1246008,1199643,1172520,1147841,1129223,1116194,1107467,1092982,1080871,1076005,1089646,1109796,1053785,1064222,1086050,1106705,1135297,1148542,1158275,1181359,1204493,1243295,1272474,1287580,1306713,1307390,1301246,1297150,1298558,1310848,1292124,1268195,1283873
New Mexico,281372,284948,285094,283550,282382,274612,284719,281896,279249,275572,271198,268091,268632,269711,272478,277551,281943,287229,292425,296057,301881,308667,295451,312122,314465,317231,319400,327542,325821,321368,317216,316761,316705,319090,320780,320688,322368,323662,323880,327013,330142,329573,330711
New York,3489245,3538474,3508004,3465450,3434116,3417453,3338809,3222612,3093885,2969216,2871724,2783017,2718678,2674818,2645811,2621378,2607719,2594070,2573715,2565841,2598337,2643993,2514918,2557660,2586921,2631467,2657305,2674454,2682508,2697568,2695172,2698638,2704282,2690786,2692513,2668050,2641026,2608273,2579161,2598950,2656202,2624977,2630183
North Carolina,1192187,1176308,1161326,1173415,1177860,1184996,1191316,1181831,1162810,1150053,1129376,1108960,1096815,1089606,1088724,1086165,1085248,1085976,1083156,1080744,1086871,1097598,1088363,1103876,1125226,1150989,1201425,1227686,1247129,1267388,1284870,1306043,1325644,1348523,1373286,1406589,1427880,1472565,1463967,1456171,1466305,1474261,1488136
North Dakota,147013,144419,141535,138302,133241,131331,129106,125085,122021,117688,116885,117708,117078,117213,118711,118570,118703,119004,118809,117816,117825,118376,118094,118512,118649,118549,119504,117859,114256,112104,108500,105326,103452,101481,99424,97231,95693,94150,93466,93788,94794,95940,99263
Ohio,2425643,2438743,2422654,2378349,2330150,2292647,2249440,2181979,2102440,2025256,1957381,1898501,1860245,1827300,1805440,1793965,1793508,1793431,1778544,1764410,1771089,1783767,1776646,1785586,1792268,1808462,1815606,1818472,1810715,1803452,1803654,1795248,1809803,1819277,1813913,1809892,1805948,1794369,1779290,1734968,1724144,1711015,1702358
Oklahoma,626956,625740,607084,600948,596380,594816,597665,594468,588870,583458,577807,582572,593825,591389,589690,592327,593183,584212,580426,578580,579087,588263,590493,596923,602512,608806,613852,617867,608505,603001,596247,592929,592431,591834,593071,597519,601035,603211,605733,613334,617425,621999,629397
Oregon,479527,478502,471395,476518,476583,477559,474707,473279,471374,467128,464599,457165,448184,447109,446884,447527,449307,455895,461752,472394,472394,498614,506649,513307,518732,524934,534766,538066,539484,541474,542821,548659,551176,548020,550486,550028,560396,563392,563538,561696,561328,560946,563714
Pennsylvania,2363817,2370665,2361285,2321437,2277451,2246147,2193673,2128873,2046746,1968801,1909292,1839015,1783969,1737952,1701880,1683221,1674161,1668542,1659714,1655279,1667834,1692797,1679139,1707495,1731959,1755788,1773046,1782578,1783838,1785372,1799381,1812267,1807403,1812600,1814955,1817450,1855655,1787687,1758949,1768263,1774800,1755740,1750491
Rhode Island,188090,190696,189693,184624,178662,176317,172373,166629,161285,154699,148956,143414,139959,136412,134610,133949,134690,134800,133585,135729,138813,142144,139572,142073,143937,146207,147431,149321,150384,151942,152842,156817,157996,157902,154865,151734,149848,145859,143357,143009,141739,140875,140413
South Carolina,637800,648643,623778,626914,627205,629729,620711,620723,624931,624795,619223,609158,608518,604553,602718,606643,611629,614921,615774,616177,622112,627470,633419,636452,640753,637519,644408,650574,655412,650450,660071,657688,674325,679091,682775,679940,685804,689505,694737,698718,701650,703635,712212
South Dakota,166305,165267,162398,157522,153592,151217,148080,143630,138228,133840,128507,125657,123897,123060,123314,124291,125458,126817,126910,127329,129164,131576,132415,140025,141039,141670,141125,140778,131627,129738,127478,126093,127793,123405,121625,120795,119910,120271,123803,122346,124154,125020,127354
Tennessee,899893,897598,891775,902704,872819,876926,841974,878424,873036,866117,853569,838297,828264,822057,817212,813753,818073,823783,821580,819660,824595,833651,828114,839583,853228,866351,879051,866351,877993,888771,881403,894510,896207,907702,918456,929381,951385,936839,955086,956043,958635,971711,966400
Texas,2839900,2811700,2738131,2782151,2785296,2812888,2822754,2842842,2867254,2872719,2900073,2935547,2985659,2989796,3040305,3131705,3209515,3236787,3283707,3328514,3382887,3464371,3428572,3487816,3548435,3614413,3695672,3756261,3808422,3853548,3913848,3993346,4076083,4137601,4200550,4317427,4387372,4457081,4527389,4611180,4686593,4750946,4826748
Utah,304002,305740,305916,305800,306388,309708,314471,317332,325026,333049,343618,355554,370183,378208,390141,403305,415994,423386,431119,438554,446652,456430,451515,458515,461464,463374,467472,468230,465989,465237,464355,466654,469852,475287,494571,504497,519572,566757,550298,563361,575176,586860,600950
Vermont,103130,105340,106517,106236,105376,104874,104356,102934,101292,98338,95815,93183,91454,90416,90089,90157,92112,92755,93381,94779,95762,97137,96184,100181,102118,103122,103693,103307,102402,101698,99573,98519,97041,95796,94416,92457,91091,89482,88927,86614,86180,84349,83919
Virginia,1078754,1074073,1069345,1085295,1093309,1103669,1100723,1082184,1055238,1031403,1010371,989548,975727,966110,965222,968104,975135,979417,982393,985346,998601,1016204,1002352,1012682,1030224,1047341,1062858,1076094,1087200,1105985,1133218,1146691,1161666,1175196,1186363,1193748,1200049,1202173,1205808,1214740,1220619,1226078,1232567
Washington,817712,805049,790502,788324,785457,785449,780730,776463,769246,764879,757639,750188,739215,736239,741177,749706,761428,775755,790918,810232,839709,869327,891400,910865,932159,950588,969151,984564,992152,997580,997487,1001098,1004996,1009997,1008084,1019250,1017692,1020235,1026023,1024310,1031732,1033185,1039228
West Virginia,399531,403377,409989,409184,404441,404119,404771,401369,395722,387966,383503,377772,375115,371251,362941,357923,351837,344236,335912,327540,322389,320249,309423,305354,304674,301070,298487,295728,291104,285001,279777,275608,274331,273295,272139,271723,274470,270288,269579,268768,268219,267590,267263
Wisconsin,993736,999921,995223,987022,974333,964219,945337,917863,886419,857855,830247,804262,784830,774646,767542,768234,767819,772363,774857,782905,797621,814671,809127,826731,842050,852130,859469,862153,859411,856963,855725,854688,855139,853363,837313,843956,842879,836860,830589,825382,822086,816667,817428
Wyoming,86886,86430,86017,85391,86584,88184,90587,92321,94328,95422,98305,99541,101665,99254,101261,102779,100955,98455,97793,97172,98226,102074,100313,100899,100314,99859,99043,96778,95215,92062,89915,88128,86448,85278,84359,83970,84770,86009,86709,87621,88427,89581,90993